Folder,Video,mIoU,mDice
1,1,0.6689,0.7832
1,4,0.7783,0.8607
1,9,0.7943,0.879
1,FOLDER_TOTAL,0.7472,0.841
2,10,0.5962,0.7044
2,13,0.8019,0.8866
2,4,0.6754,0.7792
2,FOLDER_TOTAL,0.6912,0.7901
3,16,0.258,0.3254
3,19,0.431,0.5722
3,21,0.8045,0.883
3,FOLDER_TOTAL,0.4979,0.5935
4,1,0.3062,0.4009
4,12,0.3339,0.455
4,2,0.4964,0.6336
4,FOLDER_TOTAL,0.3788,0.4965
5,10,0.5211,0.6191
5,11,0.2495,0.3153
5,6,0.1822,0.2065
5,FOLDER_TOTAL,0.3176,0.3803
6,13,0.8006,0.8688
6,2,0.6026,0.723
6,5,0.847,0.9098
6,FOLDER_TOTAL,0.7501,0.8339
7,15,0.7425,0.8383
7,18,0.8328,0.8985
7,21,0.6442,0.7396
7,FOLDER_TOTAL,0.7398,0.8255
8,2,0.7376,0.8302
8,7,0.5785,0.695
8,9,0.6497,0.7507
8,FOLDER_TOTAL,0.6553,0.7587
9,16,0.3634,0.4996
9,17,0.6577,0.7713
9,18,0.8255,0.895
9,FOLDER_TOTAL,0.6156,0.7219
10,1,0.7187,0.8204
10,11,0.3617,0.4428
10,8,0.4783,0.6031
10,FOLDER_TOTAL,0.5195,0.6221
11,13,0.4686,0.5536
11,2,0.6173,0.7356
11,7,0.4369,0.5544
11,FOLDER_TOTAL,0.5076,0.6145
12,1,0.4943,0.5867
12,2,0.7681,0.8584
12,9,0.8706,0.928
12,FOLDER_TOTAL,0.711,0.791
13,1,0.6061,0.7204
13,2,0.3075,0.3937
13,9,0.5421,0.6482
13,FOLDER_TOTAL,0.4756,0.5771
14,10,0.6858,0.7731
14,17,0.5659,0.6566
14,22,0.6443,0.735
14,FOLDER_TOTAL,0.632,0.7216
15,1,0.5313,0.649
15,2,0.4438,0.5179
15,7,0.4752,0.5707
15,FOLDER_TOTAL,0.4834,0.5792
16,1,0.7836,0.8671
16,13,0.6844,0.7953
16,2,0.7958,0.8701
16,FOLDER_TOTAL,0.7579,0.8465
17,12,0.6604,0.762
17,3,0.7502,0.8305
17,5,0.8699,0.9248
17,FOLDER_TOTAL,0.7602,0.8391
18,11,0.6525,0.7541
18,2,0.8722,0.9295
18,7,0.3384,0.4363
18,FOLDER_TOTAL,0.621,0.7066
19,2,0.4613,0.5857
19,3,0.6794,0.792
19,6,0.1804,0.2311
19,FOLDER_TOTAL,0.4404,0.5363
20,3,0.7696,0.8657
20,4,0.5273,0.6586
20,7,0.7657,0.8597
20,FOLDER_TOTAL,0.6875,0.7947
21,11,0.6041,0.7092
21,12,0.819,0.8953
21,4,0.6473,0.7415
21,FOLDER_TOTAL,0.6901,0.782
22,1,0.4901,0.5916
22,17,0.6671,0.7745
22,2,0.4363,0.5206
22,FOLDER_TOTAL,0.5312,0.6289
ALL,TOTAL,0.601,0.6951
